year	julday	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12
1989	274	-1.16	-0.52	-2.50	-1.10	-0.49	-1.82	-2.29	-2.35	-3.56	-1.17	-1.40	-0.27
1989	275	-1.16	-0.52	-2.50	-1.10	-0.49	-1.82	-2.29	-2.35	-3.56	-1.17	-1.40	-0.27
1989	276	-1.30	-0.70	-2.20	-1.27	-0.72	-1.99	-2.41	-2.47	-3.80	-1.53	-1.43	-0.28
1989	277	-1.30	-0.70	-2.20	-1.27	-0.72	-1.99	-2.41	-2.47	-3.80	-1.53	-1.43	-0.28
1989	278	-1.30	-0.70	-2.20	-1.27	-0.72	-1.99	-2.41	-2.47	-3.80	-1.53	-1.43	-0.28
1989	279	-1.30	-0.70	-2.20	-1.27	-0.72	-1.99	-2.41	-2.47	-3.80	-1.53	-1.43	-0.28
1989	280	-1.30	-0.70	-2.20	-1.27	-0.72	-1.99	-2.41	-2.47	-3.80	-1.53	-1.43	-0.28
1989	281	-1.25	-0.76	-1.98	-1.29	-0.79	-2.10	-2.40	-2.48	-3.56	-1.64	-1.39	-0.26
1989	282	-1.25	-0.76	-1.98	-1.29	-0.79	-2.10	-2.40	-2.48	-3.56	-1.64	-1.39	-0.26
1989	283	-1.25	-0.76	-1.98	-1.29	-0.79	-2.10	-2.40	-2.48	-3.56	-1.64	-1.39	-0.26
1989	284	-1.25	-0.76	-1.98	-1.29	-0.79	-2.10	-2.40	-2.48	-3.56	-1.64	-1.39	-0.26
1989	285	-1.25	-0.76	-1.98	-1.29	-0.79	-2.10	-2.40	-2.48	-3.56	-1.64	-1.39	-0.26
1989	286	-1.25	-0.76	-1.98	-1.29	-0.79	-2.10	-2.40	-2.48	-3.56	-1.64	-1.39	-0.26
1989	287	-1.25	-0.76	-1.98	-1.29	-0.79	-2.10	-2.40	-2.48	-3.56	-1.64	-1.39	-0.26
1989	288	-1.25	-0.76	-1.98	-1.29	-0.79	-2.10	-2.40	-2.48	-3.56	-1.64	-1.39	-0.26
1989	289	-1.25	-0.76	-1.98	-1.29	-0.79	-2.10	-2.40	-2.48	-3.56	-1.64	-1.39	-0.26
1989	290	-1.25	-0.76	-1.98	-1.29	-0.79	-2.10	-2.40	-2.48	-3.56	-1.64	-1.39	-0.26
1989	291	-1.25	-0.76	-1.98	-1.29	-0.79	-2.10	-2.40	-2.48	-3.56	-1.64	-1.39	-0.26
1989	292	-1.25	-0.76	-1.98	-1.29	-0.79	-2.10	-2.40	-2.48	-3.56	-1.64	-1.39	-0.26
1989	293	-1.25	-0.76	-1.98	-1.29	-0.79	-2.10	-2.40	-2.48	-3.56	-1.64	-1.39	-0.26
1989	294	-1.25	-0.76	-1.98	-1.29	-0.79	-2.10	-2.40	-2.48	-3.56	-1.64	-1.39	-0.26
1989	295	-1.34	-0.78	-1.94	-1.48	-0.87	-2.09	-2.58	-2.59	-3.20	-1.98	-1.54	-0.30
1989	296	-1.34	-0.78	-1.94	-1.48	-0.87	-2.09	-2.58	-2.59	-3.20	-1.98	-1.54	-0.30
1989	297	-1.34	-0.78	-1.94	-1.48	-0.87	-2.09	-2.58	-2.59	-3.20	-1.98	-1.54	-0.30
1989	298	-1.34	-0.78	-1.94	-1.48	-0.87	-2.09	-2.58	-2.59	-3.20	-1.98	-1.54	-0.30
1989	299	-1.34	-0.78	-1.94	-1.48	-0.87	-2.09	-2.58	-2.59	-3.20	-1.98	-1.54	-0.30
1989	300	-1.34	-0.78	-1.94	-1.48	-0.87	-2.09	-2.58	-2.59	-3.20	-1.98	-1.54	-0.30
1989	301	-1.34	-0.78	-1.94	-1.48	-0.87	-2.09	-2.58	-2.59	-3.20	-1.98	-1.54	-0.30
1989	302	-1.34	-0.78	-1.94	-1.48	-0.87	-2.09	-2.58	-2.59	-3.20	-1.98	-1.54	-0.30
1989	303	-1.34	-0.78	-1.94	-1.48	-0.87	-2.09	-2.58	-2.59	-3.20	-1.98	-1.54	-0.30
1989	304	-1.34	-0.78	-1.94	-1.48	-0.87	-2.09	-2.58	-2.59	-3.20	-1.98	-1.54	-0.30
1989	305	-1.34	-0.78	-1.94	-1.48	-0.87	-2.09	-2.58	-2.59	-3.20	-1.98	-1.54	-0.30
